trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
835,False,"{'a': 0.3, 'e': 0.00023639651842864072}",20,12,13.88812744320049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.3, 'e': 0.00023404433376915794}",20,16,8.489987852964946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.3, 'e': 0.00023171555373808925}",30,18,22.393285473070318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.3, 'e': 0.00022940994545549173}",25,14,22.774381171097815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.3, 'e': 0.00022712727835861536}",20,10,19.806714966696646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.3, 'e': 0.0002248673241788482}",20,12,12.530032534295616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
841,False,"{'a': 0.3, 'e': 0.00022262985691888897}",25,19,11.94205495025712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.3, 'e': 0.00022041465283014714}",30,4,45.66274209414883,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.3, 'e': 0.00021822149039036782}",20,12,19.262538038872957,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.3, 'e': 0.0002160501502814794}",30,16,25.789102736009614,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,False,"{'a': 0.3, 'e': 0.00021390041536766149}",30,5,34.208645865782806,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.3, 'e': 0.00021177207067363092}",25,10,29.499306526943055,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,False,"{'a': 0.3, 'e': 0.0002096649033631454}",20,6,21.80926570058089,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.3, 'e': 0.00020757870271771752}",25,0,39.72193366934722,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
849,False,"{'a': 0.3, 'e': 0.00020551326011554428}",25,3,35.797706440499255,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,False,"{'a': 0.3, 'e': 0.00020346836901064417}",30,14,27.83361534130932,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.3, 'e': 0.0002014438249122027}",25,15,19.152171872330324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.3, 'e': 0.00019943942536412282}",20,14,13.264312466070031,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,False,"{'a': 0.3, 'e': 0.00019745496992477945}",30,7,33.47102705667259,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.3, 'e': 0.0001954902601469746}",25,11,24.04147007059659,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.3, 'e': 0.00019354509955809383}",25,7,27.772753465665613,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.3, 'e': 0.00019161929364045703}",20,13,13.270310773988124,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.3, 'e': 0.00018971264981186754}",25,17,13.010529843625102,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.3, 'e': 0.00018782497740635362}",25,11,26.53982855873852,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
